n,k,extremum_index,b,stored_relative_error,recomputed_relative_error,absolute_discrepancy,derivative_residual,internal
2,0,0,0.08,-0.00002370867061683233,-0.000023708670615342016450768432808,1.49031354923e-15,0.023426600515,False
2,0,1,0.08487774356274205,0.00002370867061683233,0.0000237086706181942755221360715195,1.36194552214e-15,2.40580085097e-14,True
2,0,2,0.09788829501465637,-0.00002370867061683233,-0.0000237086706157261584411701467207,1.10617155883e-15,1.62222588988e-14,True
2,0,3,0.11299736066664212,0.00002370867061683233,0.0000237086706177454886340451161278,9.13158634045e-16,9.70681574328e-15,True
2,0,4,0.12,-0.00002370867061683233,-0.0000237086706159849751141540876587,8.47354885846e-16,0.0153293467781,False
2,1,0,0.08,-0.0003923368937989,-0.00039233689379776692417271836823,1.13307582728e-15,0.223383401156,False
2,1,1,0.08832764726216871,0.0003923368937989,0.000392336893799991175979808779132,1.09117597981e-15,1.36761939952e-14,True
2,1,2,0.1080857061440013,-0.0003923368937989,-0.000392336893798305034911647606409,5.94965088352e-16,1.71399077463e-14,True
2,1,3,0.12,0.0003923368937989,0.000392336893799525772413325476519,6.25772413325e-16,0.138454990619,False
2,2,0,0.08,-0.0064601602290408,-0.00646016022903880767280367414401,1.99232719633e-15,1.70682328161,False
2,2,1,0.09708140426775305,0.0064601602290408,0.00646016022904239987992736800185,1.59987992737e-15,1.00275357509e-14,True
2,2,2,0.12,-0.0064601602290408,-0.00646016022903965889768672773042,1.14110231327e-15,0.944743794971,False
2,3,0,0.08,-0.10500586736550088,-0.105005867365500978804070351831,9.88040703518e-17,7.29188164814,False
2,3,1,0.12,0.10500586736550055,0.105005867365500712508014871174,1.62508014871e-16,3.44478329446,False
2,4,0,0.08,-0.688197332678553,-0.688197332678552968020132975764,3.19798670242e-17,3.72375880511,False
2,4,1,0.12,-0.5471455923617825,-0.547145592361782324619073239578,1.7538092676e-16,3.30342123666,False
3,0,0,0.08,-0.00000005945927845268444,-0.0000000594592744191914325250730213145,4.03349300747e-15,0.000131962704705,False
3,0,1,0.082200877706839,0.00000005945927845268444,0.0000000594592822732845445067063196674,3.82060010451e-15,9.30814010121e-14,True
3,0,2,0.08851062142892965,-0.00000005945927845268444,-0.000000059459275161460820433410627149,3.29122361957e-15,7.555616168e-14,True
3,0,3,0.09790733045158673,0.00000005945927845268444,0.0000000594592811271453728497990283092,2.67446093285e-15,5.6922120587e-14,True
3,0,4,0.10834097675884966,-0.00000005945927845268444,-0.0000000594592762941001543683345128251,2.15858428563e-15,4.28608183775e-14,True
3,0,5,0.11674332773860012,0.00000005945927845268444,0.0000000594592802869156442452439079314,1.83423120425e-15,3.47195064982e-14,True
3,0,6,0.12,-0.00000005945927845268444,-0.0000000594592767272105686778695322113,1.72547387132e-15,8.66870269329e-5,False
3,1,0,0.08,-0.0000009826042255242402,-0.000000982604219988709546075361963561,5.53553065392e-15,0.0015364960077,False
3,1,1,0.08311195903016726,0.0000009826042255242402,0.000000982604230573215512527879380132,5.04897531253e-15,1.47230528639e-13,True
3,1,2,0.09185817314869266,-0.0000009826042255242402,-0.000000982604221574364478346283307593,3.94987572165e-15,1.06708064579e-13,True
3,1,3,0.10406394938822426,0.0000009826042255242402,0.00000098260422841262654719104166874,2.88838634719e-15,7.02782067521e-14,True
3,1,4,0.11531612403051318,-0.0000009826042255242402,-0.000000982604223300637488144421784837,2.22360271186e-15,4.938782364e-14,True
3,1,5,0.12,0.0000009826042255242402,0.000000982604227532037732232285023774,2.00779753223e-15,0.000977153889691,False
3,2,0,0.08,-0.000016173575839220873,-0.0000161735758343069310741452785713,4.91394192585e-15,0.016543580685,False
3,2,1,0.08472730083126158,0.000016173575839220873,0.0000161735758435831928169244431565,4.36231981692e-15,1.07378834363e-13,True
3,2,2,0.09750937520775886,-0.000016173575839220873,-0.0000161735758359835109425009263326,3.2373620575e-15,7.16573948649e-14,True
3,2,3,0.11275253361650682,0.000016173575839220873,0.0000161735758415852018065974573751,2.3643288066e-15,4.53170476345e-14,True
3,2,4,0.12,-0.000016173575839220873,-0.0000161735758371566351798355009028,2.06423782016e-15,0.0100126722257,False
3,3,0,0.08,-0.0002658420008321,-0.000265842000828599376033256802666,3.50062396674e-15,0.158540130215,False
3,3,1,0.08801027875057776,0.0002658420008321,0.000265842000835108828656332177935,3.00882865633e-15,6.6301828249e-14,True
3,3,2,0.10761564493934374,-0.0002658420008321,-0.000265842000830216590692005500073,1.88340930799e-15,4.08739964072e-14,True
3,3,3,0.12,0.0002658420008321,0.000265842000833678202611881211802,1.57820261188e-15,0.0883300844738,False
3,4,0,0.08,-0.004365404472745804,-0.00436540447274580604023823210783,2.04023823211e-18,1.23669586247,False
3,4,1,0.09632641132740649,0.004365404472746137,0.00436540447274593824559160742472,1.98754408393e-16,7.15580483291e-16,True
3,4,2,0.12,-0.004365404472746026,-0.00436540447274584560183456176727,1.80398165438e-16,0.581911633695,False
3,5,0,0.08,-0.06980804604156177,-0.0698080460415617886871844309982,1.8687184431e-17,5.72274081278,False
3,5,1,0.12,0.06980804604156066,0.0698080460415608072596817808709,1.47259681781e-16,1.74810932239,False
3,6,0,0.08,-0.5494840599678923,-0.549484059967892429923698584408,1.29923698584e-16,4.91273528998,False
3,6,1,0.12,-0.37562108988087206,-0.375621089880871962467808795609,9.75321912044e-17,3.76337421375,False
4,0,0,0.08,-1.4906230748933158e-10,-1.49058515613572068678855501763e-10,3.79187575951e-15,5.87628296146e-7,False
4,0,1,0.08124467125375116,1.4906230748933158e-10,1.49065970611434792801115839879e-10,3.66312210321e-15,1.00758295951e-13,True
4,0,2,0.08488926027716874,-1.4906230748933158e-10,-1.49058985311652323597731022669e-10,3.32217767926e-15,8.67884708151e-14,True
4,0,3,0.09063789173709856,1.4906230748933158e-10,1.49065182922118586254833571578e-10,2.87543278701e-15,6.94777764149e-14,True
4,0,4,0.09791666267732729,-1.4906230748933158e-10,-1.49059876375839424011326882844e-10,2.43111349216e-15,5.35267693238e-14,True
4,0,5,0.10579952000239794,1.4906230748933158e-10,1.49064367574735085471102709915e-10,2.06008540351e-15,4.13156154235e-14,True
4,0,6,0.11301512895469085,-1.4906230748933158e-10,-1.49060514879995653387936268088e-10,1.79260933593e-15,3.32215130954e-14,True
4,0,7,0.11813896864698159,1.4906230748933158e-10,1.49063941745184235343238406448e-10,1.63425585266e-15,2.87369630469e-14,True
4,0,8,0.12,-1.4906230748933158e-10,-1.4906072537381871657203799323e-10,1.58211551286e-15,3.86752619309e-7,False
4,1,0,0.08,-0.0000000024606263539088863,-0.00000000246062433941235334427859114615,2.01449653296e-15,7.50349713924e-6,False
4,1,1,0.08160671286942392,0.0000000024606263539088863,0.00000000246062829106482913878653996578,1.93715594284e-15,4.69694495108e-14,True
4,1,2,0.08627952868850061,-0.0000000024606263539088863,-0.00000000246062462170421837801327343323,1.73220466792e-15,4.09421503827e-14,True
4,1,3,0.09351588639261887,0.0000000024606263539088863,0.00000000246062781788956396205553061272,1.46398067766e-15,3.35241662058e-14,True
4,1,4,0.1023073137245549,-0.0000000024606263539088863,-0.00000000246062515334320465376196429549,1.20056568165e-15,2.67376268035e-14,True
4,1,5,0.1110208714103677,0.0000000024606263539088863,0.00000000246062734454350772522940860731,9.90634621425e-16,2.16758006577e-14,True
4,1,6,0.11755661933344076,-0.0000000024606263539088863,-0.00000000246062549479044786985808242993,8.5911843843e-16,1.86654461553e-14,True
4,1,7,0.12,0.0000000024606263539088863,0.00000000246062716864055344960935920522,8.1473166715e-16,4.82623459376e-6,False
4,2,0,0.08,-0.00000004048641009537743,-0.0000000404864061931752559330997893456,3.90220217407e-15,9.19685360052e-5,False
4,2,1,0.08215239985964501,0.00000004048641009537743,0.0000000404864137825315694847645017034,3.68715413948e-15,9.59866816013e-14,True
4,2,2,0.08834810832639994,-0.00000004048641009537743,-0.0000000404864069416705200538426354021,3.15370690995e-15,7.71165254349e-14,True
4,2,3,0.09765300983576493,0.00000004048641009537743,0.0000000404864126313178272415195303588,2.53594039724e-15,5.70048617013e-14,True
4,2,4,0.10811458351335633,-0.00000004048641009537743,-0.0000000404864080714526461033682000877,2.0239247839e-15,4.19001468583e-14,True
4,2,5,0.11665707092148209,0.00000004048641009537743,0.0000000404864118001529408047192170658,1.7047755108e-15,3.32558428395e-14,True
4,2,6,0.12,-0.00000004048641009537743,-0.0000000404864084971041174499889390045,1.59827331255e-15,5.7340013259e-5,False
4,3,0,0.08,-0.0000006653545980331275,-0.000000665354594505679632541472970934,3.52744786746e-15,0.00107003038379,False
4,3,1,0.08303081958384248,0.0000006653545980331275,0.000000665354601274927061278175984016,3.24179956128e-15,8.881466969e-14,True
4,3,2,0.09160786449199926,-0.0000006653545980331275,-0.000000665354595443891391989123880233,2.58923610801e-15,6.48433325998e-14,True
4,3,3,0.10375158815054447,0.0000006653545980331275,0.000000665354599978944999821982602199,1.94581749982e-15,4.29734993362e-14,True
4,3,4,0.11517072448382878,-0.0000006653545980331275,-0.000000665354596500045175543108362181,1.53308232446e-15,3.02512510557e-14,True
4,3,5,0.12,0.0000006653545980331275,0.000000665354599429985980338915322994,1.39685848034e-15,0.000638487171232,False
4,4,0,0.08,-0.000010928192707088406,-0.0000109281927047667413047220152334,2.32166469528e-15,0.0115745178021,False
4,4,1,0.08457942951089407,0.000010928192707088406,0.0000109281927090940013069903421018,2.00559530699e-15,6.29524959838e-14,True
4,4,2,0.09712469485724215,-0.000010928192707088406,-0.0000109281927057258240853204842869,1.36258191468e-15,4.10122278015e-14,True
4,4,3,0.11249155283406839,0.000010928192707088406,0.000010928192707956753637733183548,8.68347637733e-16,2.4705228607e-14,True
4,4,4,0.12,-0.000010928192707088406,-0.0000109281927063874727616886457538,7.00933238311e-16,0.00646415817804,False
4,5,0,0.08,-0.00017943334945269562,-0.000179433349452467782881156014513,2.27837118844e-16,0.112012290028,False
4,5,1,0.08770415784058011,0.00017943334945225153,0.000179433349452510900914682621194,2.59370914683e-16,2.20206342906e-16,True
4,5,2,0.10712715881892226,-0.00017943334945225153,-0.000179433349452330350470971692542,7.88204709717e-17,3.99723126479e-16,True
4,5,3,0.12,0.00017943334945291767,0.000179433349452831173295696410916,8.64967043036e-17,0.0559962352859,False
4,6,0,0.08,-0.0029432194817883284,-0.00294321948178828481431524383731,4.35856847562e-17,0.891829731245,False
4,6,1,0.09558779700174384,0.0029432194817886614,0.00294321948178854593654137182507,1.15463458628e-16,4.59529670285e-15,True
4,6,2,0.12,-0.0029432194817884394,-0.00294321948178856745549899418022,1.28055498994e-16,0.355488737819,False
4,7,0,0.08,-0.045979822253459424,-0.0459798222534594331029239564212,9.10292395642e-18,4.38875363839,False
4,7,1,0.12,0.045979822253459535,0.0459798222534594629530651065656,7.20469348934e-17,0.839539179825,False
4,8,0,0.08,-0.4300499305920852,-0.430049930592085028312121334104,1.71687878666e-16,5.52348884493,False
4,8,1,0.12,-0.24937625146318476,-0.249376251463184712431056950677,4.75689430493e-17,3.56118826154,False
